geofips,geoname,region,table,linecode,industryclassification,description,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,county
01001,"Autauga, AL",5,CA1,2,...,Population (persons) 1/,25166,24606,25508,27166,28463,29266,29718,29896,30462,30882,32055,32215,31985,32036,32054,32134,32245,32893,33268,33636,33996,34353,35010,35985,36953,38186,39112,40207,41238,42106,42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54660,55253,55175,55038,55290,55347,001
01003,"Baldwin, AL",5,CA1,2,...,Population (persons) 1/,56951,59474,60142,62435,64196,66072,67861,70244,72399,74550,76594,78931,80287,82331,83978,86752,89401,91311,93214,94649,96198,98955,102420,106595,111416,116565,120896,125412,130164,134444,137555,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183193,186659,190396,195126,199713,203709,003
01005,"Barbour, AL",5,CA1,2,...,Population (persons) 1/,23818,22655,23092,22854,23457,23432,24869,25609,24690,24524,24429,24763,24748,24777,24798,24952,25002,24941,25102,25230,25336,25505,26506,26941,27371,27751,27854,28298,28415,28841,28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27341,27226,27159,26973,26815,26489,005
01007,"Bibb, AL",5,CA1,2,...,Population (persons) 1/,14994,13798,13919,14097,14654,14391,14778,14763,15257,15355,15550,15751,15836,16020,15999,16089,16157,15918,16165,16136,16360,16697,17071,17403,17757,18053,18507,18885,19388,19851,20560,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22861,22733,22642,22512,22549,22583,007
01009,"Blount, AL",5,CA1,2,...,Population (persons) 1/,26411,26999,27817,29296,30357,31537,32219,33048,34219,34845,35959,36508,36641,36355,36428,36790,37417,37995,38017,38250,38771,39473,40190,40822,41866,42520,44060,45344,47055,48824,50237,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57373,57711,57776,57734,57658,57673,009
01011,"Bullock, AL",5,CA1,2,...,Population (persons) 1/,12554,11749,11418,11443,11274,11141,11097,11112,11015,10954,10799,10616,10679,10639,10686,10824,10777,10459,10891,11184,11170,11032,11188,11125,11219,11370,11431,11574,11624,11655,11755,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10887,10629,10606,10628,10829,10696,011
01013,"Butler, AL",5,CA1,2,...,Population (persons) 1/,22726,21987,21846,21530,21237,21160,21169,21351,20872,20911,21204,21789,22186,22399,22384,22443,22427,22340,22405,22207,22035,21886,21755,21794,21813,21851,21824,21863,21840,21718,21605,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20944,20673,20408,20261,20276,20154,013
01015,"Calhoun, AL",5,CA1,2,...,Population (persons) 1/,102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742,120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118437,117768,117286,116575,115993,115620,015
01017,"Chambers, AL",5,CA1,2,...,Population (persons) 1/,37814,36274,36280,36087,36961,37534,37537,37943,38368,38734,39303,39243,39382,39336,39258,39073,38614,37982,37753,37385,37208,36884,36913,37045,37026,37066,37179,36907,36698,36808,36527,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34098,33993,34075,34153,34052,34123,017
01019,"Cherokee, AL",5,CA1,2,...,Population (persons) 1/,15904,15771,16522,16860,17242,17661,18068,18556,18435,18590,18644,18876,19310,19525,19136,18989,18890,18985,19229,19517,19467,19643,19876,20181,20712,21214,21871,22387,22911,23351,23605,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25976,26080,26023,26084,25995,25859,019
01021,"Chilton, AL",5,CA1,2,...,Population (persons) 1/,26594,25222,25630,26442,27241,27932,28558,29051,29317,29926,30472,30641,30702,30361,30734,31080,31560,31924,31994,32310,32365,32550,33200,33503,34072,34739,35537,36467,37302,38069,38862,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43665,43739,43697,43795,43921,43943,021
01023,"Choctaw, AL",5,CA1,2,...,Population (persons) 1/,18432,16577,16516,16689,16996,16819,17226,17448,17329,16931,16909,16812,16672,16367,16594,16618,16710,16727,16557,16477,16166,15994,16044,16206,16228,16215,16195,16232,16162,16151,15931,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13841,13593,13543,13378,13289,13170,023
01025,"Clarke, AL",5,CA1,2,...,Population (persons) 1/,28083,26536,25876,26280,26544,26907,27385,27850,28225,28360,27646,27797,28128,27946,27864,27637,27419,27363,27527,27271,27164,27289,27391,27522,27532,27646,27455,27503,27934,27756,27919,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25767,25570,25144,25116,24847,24675,025
01027,"Clay, AL",5,CA1,2,...,Population (persons) 1/,13075,12678,12926,13240,12959,13139,13165,13381,13330,13697,13895,13740,13864,13765,13759,13667,13700,13509,13331,13266,13172,13284,13314,13425,13518,13553,13590,13734,13963,14118,14174,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13880,13670,13456,13467,13538,13555,027
01029,"Cleburne, AL",5,CA1,2,...,Population (persons) 1/,11115,11008,11165,11384,11654,11839,11985,12055,12086,12217,12559,12640,12799,12876,12727,12630,12659,12555,12731,12745,12754,12724,12684,12850,13027,13030,13080,13254,13768,13921,14039,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,14973,14971,14921,15028,15072,15018,029
01031,"Coffee, AL",5,CA1,2,...,Population (persons) 1/,36137,35107,36396,36171,35648,35507,36451,36960,37355,37450,37849,38779,39694,39836,40248,40241,40386,40636,40394,40699,40408,40293,40577,41469,41910,42666,43174,43128,43201,43509,43667,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,50177,50448,51173,50755,50831,51211,031
01033,"Colbert, AL",5,CA1,2,...,Population (persons) 1/,50891,49663,50387,50720,51277,50779,52084,52053,53133,53323,54097,54580,54724,54069,53505,52995,52858,52481,51905,51502,51382,51876,52557,52827,53367,53454,53702,54163,54899,54928,54715,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,54514,54443,54472,54471,54480,54354,033
01035,"Conecuh, AL",5,CA1,2,...,Population (persons) 1/,16645,15663,15788,15796,15702,15518,15794,15516,15435,15811,15933,15838,15630,15526,15308,15140,15029,15006,14767,14443,14225,14042,14331,14233,14255,14321,14322,14458,14361,14242,14158,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,13208,13121,12996,12875,12662,12672,035
01037,"Coosa, AL",5,CA1,2,...,Population (persons) 1/,11012,10661,10720,10852,11408,11470,11469,11240,11516,11652,11630,11395,11447,11330,11257,11238,11033,11129,11185,11073,11073,11071,11170,11177,11444,11794,11952,11854,11941,12007,12135,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11758,11348,11195,11059,10807,10724,037
01039,"Covington, AL",5,CA1,2,...,Population (persons) 1/,35074,34134,34607,34986,35341,36050,36193,36245,36264,36492,37084,36881,36939,36777,36861,36992,37152,36795,36740,36599,36532,36519,36620,36950,37218,37108,37489,37693,37759,37776,37843,37514,37069,36901,36860,36806,37204,37441,37631,37545,37648,37796,38060,37818,37830,37888,37835,039
01041,"Crenshaw, AL",5,CA1,2,...,Population (persons) 1/,13866,13219,13363,13504,13943,14032,13853,13912,13927,13909,14084,14122,14145,13998,13945,13896,13899,13860,13864,13830,13784,13598,13552,13511,13556,13476,13585,13576,13690,13599,13584,13692,13724,13635,13652,13727,13699,13880,13956,13922,14024,13853,13896,13951,13932,13948,13963,041
01043,"Cullman, AL",5,CA1,2,...,Population (persons) 1/,52050,52770,54324,55776,57227,57728,58085,59686,60380,61079,61471,61744,62040,62382,63084,64390,65039,65823,66387,66617,67042,67825,68740,69908,70889,72050,73037,74318,75147,76197,77065,77473,77415,77443,77657,78131,78692,79044,79576,80273,80351,80473,80469,80374,80756,81221,82005,043
01045,"Dale, AL",5,CA1,2,...,Population (persons) 1/,49802,53230,54549,49452,43859,44370,46068,44861,44652,46666,46385,47998,48621,48500,48729,48381,48458,49257,49587,50646,49985,49600,49835,49833,49710,50424,50303,49536,49184,48991,49118,49124,49254,49373,49215,49245,49050,49077,49488,49871,49854,50358,50109,50324,49833,49501,49565,045
01047,"Dallas, AL",5,CA1,2,...,Population (persons) 1/,56430,55309,55937,57140,57294,58344,58402,58215,58179,54711,54455,53956,53762,53947,53447,53331,52881,52083,50766,49669,48931,48015,47857,47940,48002,47806,47706,47347,47104,46764,46722,46198,46132,45377,45170,44795,44434,44323,44194,44265,43759,43803,43178,42777,42021,41662,41131,047
01049,"DeKalb, AL",5,CA1,2,...,Population (persons) 1/,42521,42228,43656,44799,46720,47903,49978,51192,52025,53109,53487,53800,54271,53798,53906,54148,53922,53642,53927,54164,54460,54875,55909,56883,58000,59551,59779,60358,61144,62325,63593,64650,65678,65861,66530,67260,67794,68495,69450,70228,70864,71142,71387,70942,70869,71012,71130,049
01051,"Elmore, AL",5,CA1,2,...,Population (persons) 1/,32941,33680,33857,35356,36534,37955,39667,39699,40505,41386,43040,43474,43731,44343,44515,44983,45570,46080,47566,48115,48629,49484,50732,52514,54245,55734,57402,58969,60809,62551,64668,66160,67459,68659,69935,71018,72978,75246,77124,77698,78632,79465,80012,80432,80883,81022,81468,051
01053,"Escambia, AL",5,CA1,2,...,Population (persons) 1/,34266,34899,35218,36517,36926,37100,38345,37612,37510,37558,37919,38278,37560,37474,37404,37494,37346,37383,37129,36315,35733,35526,35786,36320,36680,37003,37126,37460,37879,38145,38336,38325,38197,38035,37796,37713,37601,37673,37839,37929,38249,38309,38213,38034,37857,37784,37789,053
01055,"Etowah, AL",5,CA1,2,...,Population (persons) 1/,92041,94134,94887,95758,96072,96579,97936,98984,100171,101731,102937,103112,103143,102524,102707,102307,102291,101664,101314,100728,100327,99809,100365,100950,101310,102213,102342,103063,104129,104367,104002,103286,102976,102988,103025,103080,103174,103528,103893,104206,104239,104442,104236,104235,103852,103452,103057,055
01057,"Fayette, AL",5,CA1,2,...,Population (persons) 1/,16914,16187,16095,16395,16544,17082,17360,17401,17485,17783,18320,18848,18975,19181,18996,19161,19149,18967,18611,18187,17978,18006,18168,18192,18166,18221,18232,18329,18416,18465,18496,18512,18384,18278,18178,18022,18030,17767,17523,17541,17310,17231,17062,16960,16857,16842,16759,057
01059,"Franklin, AL",5,CA1,2,...,Population (persons) 1/,23374,24026,24627,25530,26016,26832,26826,27208,27743,27918,28815,28328,28191,28255,28358,28730,28698,28534,28358,28297,28004,27802,28126,28678,29121,29528,29949,30311,30676,30921,31163,31242,31190,30891,30874,30768,30968,31134,31004,31459,31589,31734,31729,31648,31507,31592,31696,059
01061,"Geneva, AL",5,CA1,2,...,Population (persons) 1/,20398,21980,22173,22784,22689,22746,23177,23239,23406,23564,23915,24191,23902,23769,23702,23905,24023,23907,23809,23626,23432,23734,24183,24208,24489,24761,24975,25136,25293,25365,25585,25740,25565,25580,25702,25772,25988,26271,26322,26646,26653,26795,26832,27006,26752,26707,26777,061
01063,"Greene, AL",5,CA1,2,...,Population (persons) 1/,13090,10551,10295,10231,10581,10640,10727,10988,10818,10957,10842,11037,11082,11007,11088,10947,10795,10577,10370,10331,10208,10171,10257,10271,10216,10133,10082,10142,10130,10067,10004,9902,9866,9893,9805,9686,9675,9361,9385,9359,9182,9001,8910,8835,8706,8553,8479,063
01065,"Hale, AL",5,CA1,2,...,Population (persons) 1/,18512,15817,15601,15756,15872,15612,15728,15743,15751,15702,15926,15602,15570,15417,15321,15303,15028,15053,15102,15292,15390,15533,15736,15945,16025,16125,16279,16449,16549,16862,16982,18194,17868,17376,17116,16765,16622,16427,16418,16260,16025,15735,15364,15401,15316,15131,15068,065
