FIPS;State;Area_name;Rural_urban_continuum_code_2013;Urban_influence_code_2013;Metro_2013;Civilian_labor_force_2007;Employed_2007;Unemployed_2007;Unemployment_rate_2007;Civilian_labor_force_2008;Employed_2008;Unemployed_2008;Unemployment_rate_2008;Civilian_labor_force_2009;Employed_2009;Unemployed_2009;Unemployment_rate_2009;Civilian_labor_force_2010;Employed_2010;Unemployed_2010;Unemployment_rate_2010;Civilian_labor_force_2011;Employed_2011;Unemployed_2011;Unemployment_rate_2011;Civilian_labor_force_2012;Employed_2012;Unemployed_2012;Unemployment_rate_2012;Civilian_labor_force_2013;Employed_2013;Unemployed_2013;Unemployment_rate_2013;Civilian_labor_force_2014;Employed_2014;Unemployed_2014;Unemployment_rate_2014;Civilian_labor_force_2015;Employed_2015;Unemployed_2015;Unemployment_rate_2015;Civilian_labor_force_2016;Employed_2016;Unemployed_2016;Unemployment_rate_2016;Median_Household_Income_2015;Med_HH_Income_Percent_of_State_Total_2015
01000;AL;Alabama;;;;2175612;2089127;86485;4;2176489;2053477;123012;5.7;2162999;1924747;238252;11;2196042;1964559;231483;10.5;2202670;1990413;212257;9.6;2176337;2003290;173047;8;2168411;2011636;156775;7.2;2162386;2015436;146950;6.8;2152289;2020675;131614;6.1;2168608;2038775;129833;6;44833;100
01001;AL;Autauga County, AL;2;2;1;24383;23577;806;3.3;24687;23420;1267;5.1;24703;22301;2402;9.7;25713;23431;2282;8.9;25836;23677;2159;8.4;25740;23961;1779;6.9;25744;24140;1604;6.2;25610;24111;1499;5.9;25303;23971;1332;5.3;25649;24297;1352;5.3;56580;126201681796891
01003;AL;Baldwin County, AL;3;2;1;82659;80099;2560;3.1;83223;79372;3851;4.6;82451;74403;8048;9.8;83459;75120;8339;10;85045;77418;7627;9;84414;78065;6349;7.5;85061;79414;5647;6.6;86444;81131;5313;6.1;87756;82882;4874;5.6;89931;85061;4870;5.4;52387;116849195904802
01005;AL;Barbour County, AL;6;6;0;10334;9684;650;6.3;10161;9267;894;8.8;10003;8572;1431;14.3;10221;8959;1262;12.3;9849;8712;1137;11.5;9362;8283;1079;11.5;9077;8147;930;10.2;8852;7917;935;10.6;8646;7881;765;8.8;8302;7584;718;8.6;31433;701113019427654
01007;AL;Bibb County, AL;1;1;1;8791;8432;359;4.1;8749;8241;508;5.8;8742;7581;1161;13.3;8934;7914;1020;11.4;8933;7996;937;10.5;8798;8047;751;8.5;8683;7995;688;7.9;8564;7946;618;7.2;8526;7957;569;6.7;8573;8004;569;6.6;40767;909307875894988
01009;AL;Blount County, AL;1;1;1;26629;25780;849;3.2;26698;25453;1245;4.7;26480;23832;2648;10;24906;22460;2446;9.8;25123;22939;2184;8.7;24960;23244;1716;6.9;24823;23263;1560;6.3;24543;23036;1507;6.1;24343;23021;1322;5.4;24525;23171;1354;5.5;50487;112611246180269
01011;AL;Bullock County, AL;6;6;0;3653;3308;345;9.4;3634;3251;383;10.5;3739;3156;583;15.6;4941;4356;585;11.8;4833;4272;561;11.6;4736;4245;491;10.4;4766;4319;447;9.4;4734;4316;418;8.8;4779;4400;379;7.9;4811;4466;345;7.2;28251;630138514040997
01013;AL;Butler County, AL;6;6;0;9099;8539;560;6.2;9051;8278;773;8.5;9104;7615;1489;16.4;9261;7998;1263;13.6;9188;8042;1146;12.5;9088;8039;1049;11.5;9124;8184;940;10.3;9276;8482;794;8.6;9155;8460;695;7.6;9132;8481;651;7.1;33868;75542569089733
01015;AL;Calhoun County, AL;3;2;1;54861;52709;2152;3.9;54564;51468;3096;5.7;53925;47929;5996;11.1;51559;45699;5860;11.4;51268;45963;5305;10.3;49649;45252;4397;8.9;48282;44043;4239;8.8;47274;43492;3782;8;46048;42813;3235;7;45794;42727;3067;6.7;42091;93883969397542
01017;AL;Chambers County, AL;6;5;0;15474;14469;1005;6.5;15012;12848;2164;14.4;14650;11777;2873;19.6;14754;12554;2200;14.9;15200;13380;1820;12;15140;13646;1494;9.9;15236;14020;1216;8;15314;14285;1029;6.7;15074;14167;907;6;15134;14295;839;5.5;35560;793165748444226
01019;AL;Cherokee County, AL;6;6;0;11984;11484;500;4.2;11996;11308;688;5.7;11758;10384;1374;11.7;11464;10245;1219;10.6;11476;10364;1112;9.7;11268;10363;905;8;11374;10621;753;6.6;11394;10731;663;5.8;11208;10598;610;5.4;11163;10581;582;5.2;39144;873106863248054
01021;AL;Chilton County, AL;1;1;1;19737;19067;670;3.4;19610;18618;992;5.1;19445;17375;2070;10.6;19462;17464;1998;10.3;19539;17753;1786;9.1;19383;17982;1401;7.2;19309;18042;1267;6.6;19108;17909;1199;6.3;19032;17951;1081;5.7;19153;18077;1076;5.6;42767;953917872995338
01023;AL;Choctaw County, AL;9;10;0;5183;4875;308;5.9;5069;4646;423;8.3;5134;4442;692;13.5;4860;4216;644;13.3;4764;4138;626;13.1;4791;4297;494;10.3;4691;4258;433;9.2;4497;4091;406;9;4398;3999;399;9.1;4300;3918;382;8.9;35089;782660094127094
01025;AL;Clarke County, AL;7;11;0;10358;9730;628;6.1;10351;9419;932;9;10381;8664;1717;16.5;9108;7300;1808;19.9;8843;7181;1662;18.8;8374;7116;1258;15;8265;7126;1139;13.8;8161;7166;995;12.2;8026;7087;939;11.7;8011;7118;893;11.1;37317;832355630896884
01027;AL;Clay County, AL;9;10;0;6113;5775;338;5.5;5733;5279;454;7.9;5643;4703;940;16.7;5851;5005;846;14.5;5598;4935;663;11.8;5413;4905;508;9.4;5380;4930;450;8.4;5516;5120;396;7.2;5574;5232;342;6.1;5558;5216;342;6.2;38908;867842883590213
01029;AL;Cleburne County, AL;8;4;0;6483;6246;237;3.7;6557;6225;332;5.1;6514;5851;663;10.2;6033;5429;604;10;5939;5365;574;9.7;5838;5358;480;8.2;5815;5369;446;7.7;5857;5470;387;6.6;5701;5358;343;6;5831;5476;355;6.1;42136;939843418910178
01031;AL;Coffee County, AL;4;5;0;21077;20275;802;3.8;20911;19897;1014;4.8;21436;19612;1824;8.5;21088;19271;1817;8.6;20749;19059;1690;8.1;20612;19159;1453;7;20463;19054;1409;6.9;20242;18895;1347;6.7;20360;19151;1209;5.9;20402;19167;1235;6.1;46858;10451676220641
01033;AL;Colbert County, AL;3;2;1;25386;24216;1170;4.6;25160;23523;1637;6.5;25414;22461;2953;11.6;24228;21453;2775;11.5;24386;21905;2481;10.2;24026;21922;2104;8.8;23835;21878;1957;8.2;24043;22046;1997;8.3;23676;21804;1872;7.9;23707;22045;1662;7;41171;918319095309259
